번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
156,1031508,22호,좌석매출,매출,고정석,1,0,35000,카드,하나카드,35000,0,2021-03-01,2021-03-04,2021-04-02,온라인결제,,,,9084
157,1031509,20호,좌석매출,매출,1day,0,0,9000,카드,삼성카드사,0,9000,2021-03-01,2021-03-01,2021-03-01,온라인결제,,,,8122
158,1031509,20호,좌석매출,매출,1day,0,0,4000,카드,삼성카드사,4000,0,2021-03-01,2021-03-01,2021-03-01,온라인결제,,,,8122
159,1031510,38호,좌석매출,매출,자유석,1,0,125000,카드,IBK비씨체크,0,125000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,16683
160,1031512,31호,좌석매출,매출,포커스석,1,0,110800,카드,삼성 마스타,0,110800,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,13269
161,1031512,31호,좌석매출,매출,포커스석,1,0,59200,카드,삼성 마스타,59200,0,2021-03-01,2021-03-02,2021-03-31,키오스크결제,,,,13269
162,1031514,28호,좌석매출,매출,자유석,1,0,144000,카드,신한카드체크,0,144000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,12033
163,1031514,28호,좌석매출,매출,자유석,1,0,16000,카드,신한카드체크,16000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,12033
164,1031516,27호,좌석매출,매출,자유석,1,0,120000,카드,현대 카드,0,120000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,11695
165,1031516,27호,좌석매출,매출,자유석,1,0,30000,카드,현대 카드,30000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,11695
166,1031517,35호,좌석매출,매출,자유석,1,0,130000,카드,NH체크카드,0,130000,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,15515
167,1031517,35호,좌석매출,매출,자유석,1,0,70000,카드,NH체크카드,70000,0,2021-03-01,2021-03-01,2021-03-30,키오스크결제,,,,15515
